OBJECTID,TREE_LEVEL,GEOL_CODE_INT,GEOL_CODE,PARENT_REF,GERMAN
366,4.0,15104045,Vlit404045,15104041.0,Zweiglimmergneis
367,4.0,15104046,Vlit404046,15104041.0,agmatischer Gneis
368,4.0,15104047,Vlit404047,15104041.0,Leptinit
369,4.0,15104048,Vlit404048,15104041.0,Paragneis
370,4.0,15104049,Vlit404049,15104041.0,Orthogneis
371,4.0,15104050,Vlit404050,15104041.0,Stronalit
372,4.0,15104051,Vlit404051,15104041.0,Kinzigit
373,3.0,15104053,Vlit404053,15104026.0,"Fels, undifferenziert"
374,4.0,15104054,Vlit404054,15104053.0,Kalksilikatfels
375,4.0,15104055,Vlit404055,15104053.0,Marmor (Fels)
376,4.0,15104056,Vlit404056,15104053.0,Karbonat- und Silikat führendes Gestein
377,4.0,15104057,Vlit404057,15104053.0,silikatreicher Marmor
378,4.0,15104058,Vlit404058,15104053.0,Granulit
379,4.0,15104059,Vlit404059,15104053.0,Rodingit
380,4.0,15104060,Vlit404060,15104053.0,Amphibolit
381,4.0,15104061,Vlit404061,15104041.0,Bänderamphibolit
382,4.0,15104062,Vlit404062,15104053.0,Schollenamphibolit
383,4.0,15104063,Vlit404063,15104041.0,Amphibolitgneis
384,4.0,15104064,Vlit404064,15104053.0,Eklogit
385,4.0,15104065,Vlit404065,15104053.0,Peridotit (Metamorphit)
386,4.0,15104067,Vlit404067,15104066.0,Hornfels
387,3.0,15104069,Vlit404069,15104027.0,"Metasomatit, undifferenziert"
388,4.0,15104070,Vlit404070,15104069.0,Skarn
389,4.0,15104071,Vlit404071,15104069.0,Greisen
390,4.0,15104072,Vlit404072,15104069.0,Gneis mit Feldspatblasten
391,3.0,15104074,Vlit404074,15104027.0,"Anatexit, undifferenziert"
392,4.0,15104075,Vlit404075,15104074.0,Migmatit
393,4.0,15104076,Vlit404076,15104074.0,Metatexit mit Fleckentextur
394,4.0,15104077,Vlit404077,15104074.0,Metatexit mit stromatitischer Textur
395,4.0,15104078,Vlit404078,15104074.0,Metatexit mit Netztextur
396,4.0,15104079,Vlit404079,15104074.0,Diatexit mit nebulitischer Textur
397,4.0,15104080,Vlit404080,15104074.0,Diatexit mit Schlierentextur
398,4.0,15104081,Vlit404081,15104074.0,Diatexit mit Schollentextur
399,2.0,15104084,Vlit404084,15104001.0,"monomineralischer Metamorphit, undifferenziert"
400,3.0,15104085,Vlit404085,15104084.0,Biotitit
401,3.0,15104086,Vlit404086,15104084.0,Hornblenditit
402,3.0,15104087,Vlit404087,15104084.0,Albitit
403,3.0,15104088,Vlit404088,15104084.0,Pyroxenit (monomineralischer Metamorphit)
404,3.0,15104089,Vlit404089,15104084.0,Chloritit
405,3.0,15104090,Vlit404090,15104084.0,Serpentinit
406,3.0,15104091,Vlit404091,15104084.0,Quarzit (monomineralischer Metamorphit)
255,2.0,15104092,Vlit404092,15104001.0,Metamorphit (Protolith erkennbar)
270,3.0,15104093,Vlit404093,15104092.0,Metamorphit (sedimentärer Protolith erkennbar)
289,3.0,15104095,Vlit404095,15104092.0,Metamorphit (magmatischer Protolith erkennbar)
1687,4.0,15104096,Vlit404096,15104031.0,Quarzschiefer
1688,4.0,15104097,Vlit404097,15104031.0,Granat-Glimmerschiefer
1689,4.0,15104098,Vlit404098,15104031.0,Grünschiefer
1367,4.0,15104099,Vlit404099,15104084.0,Ophikalzit
271,4.0,15104201,Vlit404201,15104093.0,Metasediment
272,4.0,15104202,Vlit404202,15104093.0,Metapsephit
273,4.0,15104203,Vlit404203,15104093.0,Metabrekzie
274,4.0,15104204,Vlit404204,15104093.0,Metakonglomerat
275,4.0,15104205,Vlit404205,15104093.0,Metasandstein
276,4.0,15104206,Vlit404206,15104093.0,Quarzit (sedimentärer Protolith)
277,4.0,15104207,Vlit404207,15104093.0,Metapsammit
278,4.0,15104208,Vlit404208,15104093.0,Metaarkose
279,4.0,15104209,Vlit404209,15104093.0,Metagrauwacke
280,4.0,15104210,Vlit404210,15104093.0,Geröll führender Metasandstein
281,4.0,15104211,Vlit404211,15104093.0,Metapelit
282,4.0,15104212,Vlit404212,15104093.0,Metasiltstein
283,4.0,15104213,Vlit404213,15104093.0,Tonschiefer (sedimentärer Protolith)
284,4.0,15104214,Vlit404214,15104093.0,Metamergel
285,4.0,15104215,Vlit404215,15104093.0,Marmor (sedimentärer Protolith)
286,4.0,15104216,Vlit404216,15104093.0,dolomitischer Marmor
287,4.0,15104217,Vlit404217,15104093.0,Metaradiolarit
288,4.0,15104218,Vlit404218,15104093.0,Metakarbonat
290,4.0,15104401,Vlit404401,15104095.0,Metamagmatit
291,4.0,15104402,Vlit404402,15104095.0,metamorph überprägtes Intrusivgestein
292,4.0,15104403,Vlit404403,15104095.0,Metaplutonit
293,4.0,15104404,Vlit404404,15104095.0,Metaalkalogranit
294,4.0,15104405,Vlit404405,15104095.0,Metagranit
295,4.0,15104406,Vlit404406,15104095.0,Metagranodiorit
296,4.0,15104407,Vlit404407,15104095.0,Metaquarzdiorit
297,4.0,15104408,Vlit404408,15104095.0,Metatonalit
298,4.0,15104409,Vlit404409,15104095.0,Metadiorit
299,4.0,15104410,Vlit404410,15104095.0,Metasyenit
300,4.0,15104411,Vlit404411,15104095.0,Metaalkalisyenit
301,4.0,15104412,Vlit404412,15104095.0,Metaquarzgabbro
302,4.0,15104413,Vlit404413,15104095.0,Metagabbro
303,4.0,15104414,Vlit404414,15104095.0,Metanorit
304,4.0,15104415,Vlit404415,15104095.0,Metamonzodiorit
305,4.0,15104416,Vlit404416,15104095.0,Metamonzogabbro
306,4.0,15104417,Vlit404417,15104095.0,Metamonzonit
307,4.0,15104418,Vlit404418,15104095.0,Metapyroxenit
308,4.0,15104419,Vlit404419,15104095.0,Metaperidotit
309,4.0,15104420,Vlit404420,15104095.0,nephelinitischer Metasyenit
310,4.0,15104421,Vlit404421,15104095.0,Metaessexit
311,4.0,15104422,Vlit404422,15104095.0,Metagranophyr
312,4.0,15104423,Vlit404423,15104095.0,Metaganggestein
313,4.0,15104424,Vlit404424,15104095.0,Metamikrogranit
315,4.0,15104426,Vlit404426,15104095.0,Metapegmatit
316,4.0,15104427,Vlit404427,15104095.0,Metaaplit
317,4.0,15104428,Vlit404428,15104095.0,Metamikrodiorit
318,4.0,15104429,Vlit404429,15104095.0,Metamikrogabbro
319,4.0,15104430,Vlit404430,15104095.0,Metalamprophyr
320,4.0,15104431,Vlit404431,15104095.0,Metapikrit
321,4.0,15104432,Vlit404432,15104095.0,Metadolerit
322,4.0,15104433,Vlit404433,15104095.0,Metaalkalirhyolith
323,4.0,15104434,Vlit404434,15104095.0,Metarhyolith
324,4.0,15104435,Vlit404435,15104095.0,Metarhyodazit
325,4.0,15104436,Vlit404436,15104095.0,Metadazit
326,4.0,15104437,Vlit404437,15104095.0,Metaquarzandesit
327,4.0,15104438,Vlit404438,15104095.0,Metaandesit
328,4.0,15104439,Vlit404439,15104095.0,Metaalkalitrachyt
329,4.0,15104440,Vlit404440,15104095.0,Metatrachyt
330,4.0,15104441,Vlit404441,15104095.0,Metabasalt
331,4.0,15104443,Vlit404443,15104095.0,Metaphonolit
332,4.0,15104444,Vlit404444,15104095.0,metamorph überprägtes pyroklastisches Gestein
333,4.0,15104445,Vlit404445,15104095.0,Metaignimbrit
334,4.0,15104446,Vlit404446,15104095.0,Metavulkanit
2011,4.0,15104447,Vlit404447,15104053.0,ultramafisches Gestein
2007,4.0,15104448,Vlit404448,15104011.0,tektonische Kalkbrekzie
