OBJECTID,TREE_LEVEL,GEOL_CODE_INT,GEOL_CODE,PARENT_REF,GERMAN
419,2.0,15200246,Vlit500246,15200245.0,Prävariszische Orthogneise der Nordschweiz
420,3.0,15200247,Vlit500247,15200246.0,Todtmoos-Horbach-Gneiskomplex
421,3.0,15200248,Vlit500248,15200246.0,Murgtal-Gneiskomplex
422,3.0,15200249,Vlit500249,15200246.0,Laufenburg-Gneiskomplex
423,2.0,15200250,Vlit500250,15200245.0,Prävariszische Migmatite der Nordschweiz
424,3.0,15200251,Vlit500251,15200250.0,Wiesen-Wehratal-Komplex
425,3.0,15200252,Vlit500252,15200250.0,Wehratal-Syenit
426,2.0,15200253,Vlit500253,15200245.0,Prävariszische Grüngesteine der Nordschweiz
1,1.0,15200254,Vlit500254,0.0,Molasse
2,2.0,15200255,Vlit500255,15200254.0,Obere Süsswassermolasse (OSM)
3,3.0,15200256,Vlit500256,15200255.0,Tannenberg-Schichten
4,3.0,15200257,Vlit500257,15200255.0,Pfänder-Schichten
5,3.0,15200258,Vlit500258,15200255.0,Napf-Formation
6,4.0,15200259,Vlit500259,15200258.0,Blapbach-Kohleflöz
7,4.0,15200260,Vlit500260,15200258.0,Eimätteli-Member
8,3.0,15200261,Vlit500261,15200255.0,Schüpferegg-Nagelfluh
9,3.0,15200262,Vlit500262,15200255.0,OSM-II
10,2.0,15200263,Vlit500263,15200254.0,Hegau-Vulkanite
11,3.0,15200264,Vlit500264,15200263.0,Hegau-Basalt
12,3.0,15200265,Vlit500265,15200263.0,Hegau-Phonolith
13,3.0,15200266,Vlit500266,15200263.0,Hegau-Deckentuffe
14,5.0,15200267,Vlit500267,15200297.0,Hörnligipfel-Nagelfluh
15,6.0,15200268,Vlit500268,15200267.0,Höchegg-Brekzie
16,5.0,15200269,Vlit500269,15200297.0,Hörnligubel-Mergel
17,5.0,15200270,Vlit500270,15200297.0,Tösswald-Schichten
18,4.0,15200271,Vlit500271,15200262.0,Bischofzell-Bentonit
19,5.0,15200272,Vlit500272,15200297.0,Öhningen-Zone im Hörnligebiet
20,5.0,15200273,Vlit500273,15200297.0,Krinau-Schichten
21,4.0,15200274,Vlit500274,15200262.0,Glimmersandstein-Formation
22,4.0,15200275,Vlit500275,15200262.0,Fellitobel-Süsswasserkalk
23,4.0,15200276,Vlit500276,15200262.0,Uetliberg-Schichten
24,5.0,15200277,Vlit500277,15200276.0,Uetliberggipfel-Nagelfluh
25,5.0,15200278,Vlit500278,15200276.0,Uetliberg-Mergel
26,5.0,15200279,Vlit500279,15200280.0,Falätschen-Mergel
27,4.0,15200280,Vlit500280,15200262.0,Pfannenstiel-Schichten
28,4.0,15200281,Vlit500281,15200262.0,Zürich-Schichten
29,5.0,15200282,Vlit500282,15200281.0,Leimbach-Bentonit
30,5.0,15200283,Vlit500283,15200281.0,Rütschlibach-Riedhof-Süsswasserkalk
31,5.0,15200284,Vlit500284,15200281.0,Winterthur-Bentonit
32,5.0,15200285,Vlit500285,15200281.0,Aeugstertal-Bentonit
33,5.0,15200286,Vlit500286,15200281.0,Äntlisberg-Doldertobel-Süsswasserkalk
34,5.0,15200287,Vlit500287,15200281.0,Wehrenbach-Höckler-Süsswasserkalk
35,5.0,15200288,Vlit500288,15200507.0,Küsnacht-Bentonit
36,5.0,15200289,Vlit500289,15200507.0,Urdorf-Bentonit
37,3.0,15200290,Vlit500290,15200255.0,Appenzellergranit-Leitniveau
38,4.0,15200291,Vlit500291,15200290.0,Abtwil-Konglomerat
39,4.0,15200292,Vlit500292,15200290.0,Hüllistein-Konglomerat
40,4.0,15200293,Vlit500293,15200290.0,Degersheim-Kalknagelfluh
41,4.0,15200294,Vlit500294,15200290.0,Meilen-Kalk
42,3.0,15200295,Vlit500295,15200255.0,OSM-I
43,4.0,15200296,Vlit500296,15200295.0,Lichtensteig-Schichten
44,4.0,15200297,Vlit500297,15200262.0,Hörnli-Formation
45,4.0,15200298,Vlit500298,15200295.0,Guggershorn-Formation
46,5.0,15200299,Vlit500299,15200509.0,Horgen-Käpfnach-Süsswasserkalk
47,3.0,15200300,Vlit500300,15200255.0,OSM-J
49,4.0,15200301,Vlit500301,15200300.0,Bois-de-Raube-Formation
55,4.0,15200302,Vlit500302,15200300.0,Jura-Nagelfluh
60,4.0,15200303,Vlit500303,15200300.0,Oehningien des Juragebirges
61,6.0,15200304,Vlit500304,15200625.0,Combe-Girard-Bentonit
62,4.0,15200305,Vlit500305,15200300.0,Vermes-Süsswasserkalk
63,5.0,15200306,Vlit500306,15200626.0,"Crêt-du-Locle-Formation, Gompholitfazies"
64,2.0,15200307,Vlit500307,15200254.0,Obere Meeresmolasse (OMM)
65,3.0,15200308,Vlit500308,15200307.0,OMM-II
78,4.0,15200309,Vlit500309,15200308.0,St-Gallen-Formation
85,5.0,15200310,Vlit500310,15200309.0,Staffelbach-Grobsandstein
88,3.0,15200311,Vlit500311,15200307.0,OMM-I
98,4.0,15200312,Vlit500312,15200311.0,Luzern-Formation
99,5.0,15200313,Vlit500313,15200312.0,Safenwil-Muschelsandstein
101,2.0,15200314,Vlit500314,15200254.0,Untere Süsswassermolasse (USM)
102,4.0,15200315,Vlit500315,15200329.0,Höhronen-Nagelfluh
103,4.0,15200316,Vlit500316,15200329.0,Kronberg-Nagelfluh
124,4.0,15200317,Vlit500317,15200335.0,Cornalle-Sandstein
125,4.0,15200318,Vlit500318,15200335.0,Mont-Pèlerin-Nagelfluh
104,4.0,15200319,Vlit500319,15200335.0,Speer-Formation
105,4.0,15200320,Vlit500320,15200335.0,Thun-Formation
106,5.0,15200321,Vlit500321,15200320.0,Gunten-Quarzitnagelfluh
107,4.0,15200322,Vlit500322,15200335.0,Rigi-Formation
108,4.0,15200323,Vlit500323,15200335.0,Scheidegg-Nagelfluh
109,5.0,15200324,Vlit500324,15200322.0,Bunte Rigi-Nagelfluh
110,5.0,15200325,Vlit500325,15200322.0,Radiolaritreiche Nagelfluh
111,3.0,15200326,Vlit500326,15200314.0,USM-III
112,4.0,15200327,Vlit500327,15200326.0,Sommersberg-Nagelfluh
113,4.0,15200328,Vlit500328,15200326.0,Brendenbach-Mergel
114,3.0,15200329,Vlit500329,15200314.0,USM-II
115,4.0,15200330,Vlit500330,15200329.0,Formation der Granitischen Molasse
116,5.0,15200331,Vlit500331,15200330.0,Oberaquitane Mergelzone
118,4.0,15200332,Vlit500332,15200329.0,Molasse Grise de Lausanne
119,5.0,15200333,Vlit500333,15200332.0,Bois-Genoud-Bentonit
120,5.0,15200334,Vlit500334,15200332.0,Cuarny-Sandstein
121,3.0,15200335,Vlit500335,15200314.0,USM-I
122,4.0,15200336,Vlit500336,15200335.0,Grès et Marnes Gris à Gypse
123,4.0,15200337,Vlit500337,15200335.0,Molasse à Charbon
126,4.0,15200338,Vlit500338,15200335.0,Molasse Rouge
127,3.0,15200339,Vlit500339,15200314.0,Heuboden-Äschitannen-Nagelfluh
128,4.0,15200340,Vlit500340,15200335.0,Beichlen-Formation
129,3.0,15200341,Vlit500341,15200314.0,USM-J
130,4.0,15200342,Vlit500342,15200341.0,La-Chaux-Süsswasserkalk
133,4.0,15200343,Vlit500343,15200341.0,Elsässer Molasse s.s.
134,5.0,15200344,Vlit500344,15200343.0,Delémont-Süsswasserkalk
137,5.0,15200345,Vlit500345,15200343.0,Matzendorf-Süsswasserkalk
138,5.0,15200346,Vlit500346,15200343.0,Oensingen-Süsswasserkalk
136,5.0,15200347,Vlit500347,15200559.0,Wynau-Süsswasserkalk
139,2.0,15200348,Vlit500348,15200254.0,Untere Meeresmolasse (UMM)
140,3.0,15200349,Vlit500349,15200348.0,UMM-III
141,4.0,15200350,Vlit500350,15200349.0,Horw-Sandstein
142,3.0,15200351,Vlit500351,15200348.0,UMM-II
143,4.0,15200352,Vlit500352,15200351.0,Grisigen-Mergel
144,3.0,15200353,Vlit500353,15200348.0,UMM-I
145,4.0,15200354,Vlit500354,15200353.0,Cucloz-Subformation
146,5.0,15200355,Vlit500355,15200358.0,Cucloz-Sandstein
147,5.0,15200356,Vlit500356,15200358.0,Marnes gris-souris
148,5.0,15200357,Vlit500357,15200358.0,Schistes marno-micacés
149,4.0,15200358,Vlit500358,15200353.0,Hilfern-Formation
150,4.0,15200359,Vlit500359,15200353.0,Rietbad-Subformation
151,5.0,15200360,Vlit500360,15200358.0,Jordisboden-Mergel
