OBJECTID,GEOL_CODE,GERMAN,PARENT_REF,TREE_LEVEL,GEOL_CODE_INT
50,Vlit401006,Bergsturzablagerung,15101005.0,4,15101006
218,Vlit403029,Pegmatit,15103026.0,4,15103029
155,Vlit402064,phosphoritreicher Sandstein,15102063.0,4,15102064
347,Vlit404019,Protomylonit,15104018.0,4,15104019
46,Vlit401076,geringmächtige Lockergesteinsbedeckung,15101075.0,3,15101076
313,Vlit404424,Metamikrogranit,15104095.0,4,15104424
407,Vlit401083,In-situ-Verwitterungsschutt,15101075.0,3,15101083
232,Vlit403046,Alkalitrachyt,15103039.0,4,15103046
305,Vlit404416,Metamonzogabbro,15104095.0,4,15104416
255,Vlit404092,Protolith erkennbar,15104001.0,2,15104092
163,Vlit402076,"Rauwacke, Karbonat",15102075.0,4,15102076
130,Vlit402034,"Kalkstein, undifferenziert",15102032.0,4,15102034
140,Vlit402044,Aptychenkalk,15102034.0,4,15102044
225,Vlit403039,"Ergussgestein, undifferenziert",15103037.0,3,15103039
207,Vlit403017,Monzodiorit,15103005.0,4,15103017
80,Vlit401081,hydrochemische Bildungen (Kalksinter),15101001.0,2,15101081
348,Vlit404020,Mylonit,15104018.0,4,15104020
350,Vlit404023,Phyllonit,15104002.0,3,15104023
285,Vlit404215,"Marmor, sedimentärer Protolith erkennbar",15104093.0,4,15104215
292,Vlit404403,Metaplutonit,15104095.0,4,15104403
23,Vlit401035,gemischter Schutt,15101026.0,3,15101035
55,Vlit401021,"Moräne (Till), undifferenziert",15101019.0,4,15101021
320,Vlit404431,Metapikrit,15104095.0,4,15104431
1687,Vlit404096,Quarzschiefer,15104031.0,4,15104096
49,Vlit401005,"Sturzablagerung, undifferenziert",15101003.0,3,15101005
1689,Vlit404098,Grünschiefer,15104031.0,4,15104098
1688,Vlit404097,Granat-Glimmerschiefer,15104031.0,4,15104097
176,Vlit402100,Echinodermenkalk,15102034.0,4,15102100
142,Vlit402046,detritischer Kalk,15102034.0,4,15102046
138,Vlit402042,Kalkoolith,15102034.0,4,15102042
209,Vlit403019,Monzonit,15103005.0,4,15103019
388,Vlit404070,Skarn,15104069.0,4,15104070
14,Vlit401010,Blockschutt,15101003.0,3,15101010
51,Vlit401007,Felssturzablagerung,15101005.0,4,15101007
152,Vlit402059,Anthrazit,15102056.0,4,15102059
274,Vlit404204,Metakonglomerat,15104093.0,4,15104204
289,Vlit404095,magmatischer Protolith erkennbar,15104092.0,3,15104095
343,Vlit404014,Protokataklasit,15104010.0,4,15104014
166,Vlit402082,Bohnerz,15102080.0,3,15102082
271,Vlit404201,Metasediment,15104093.0,4,15104201
399,Vlit404084,"monomineralisches Gestein, undifferenziert",15104001.0,2,15104084
62,Vlit401031,"Schotter, glazifluviatiles Sediment",15101028.0,4,15101031
228,Vlit403042,Rhyodazit,15103039.0,4,15103042
339,Vlit404010,"Kataklasit, undifferenziert",15104002.0,3,15104010
365,Vlit404044,Adergneis,15104041.0,4,15104044
318,Vlit404429,Metamikrogabbro,15104095.0,4,15104429
371,Vlit404050,Stronalit,15104041.0,4,15104050
36,Vlit401052,Sumpf,15101050.0,3,15101052
67,Vlit401037,Murgangablagerung,15101035.0,4,15101037
1367,Vlit404099,Ophikalzit,15104084.0,4,15104099
251,Vlit404001,Metamorphit,,1,15104001
