OBJECTID,UUID,LITSTRAT_FORMATION_BANK,GEOL_MAPPING_UNIT,CHRONO_TOP,CHRONO_BASE,LITHO_MAIN,LITHO_SEC,LITHO_TER,CORRELATION
3053,{5A40DC90-A097-41C9-884F-D24DC2E3BFDB},15255085.0,15203303.0,15001045.0,15001045.0,15111044.0,15111565.0,15111247.0,15285001.0
3054,{4520A19A-85EE-4649-8BDD-304D852871AE},15255086.0,15203304.0,15001052.0,15001052.0,15111221.0,15111123.0,15111044.0,15285001.0
3055,{09663A08-7D4D-43BE-8D32-A880E9C04B4F},15255087.0,15203305.0,15001049.0,15001049.0,15111297.0,15111303.0,15111005.0,15285001.0
3056,{8E413C8F-B5BC-4D4D-A63C-081D01962F7C},15255065.0,15203306.0,15001052.0,15001054.0,15111247.0,15111614.0,,15285025.0
2973,{90A8D567-3C8A-41E5-A0A0-B01FDDD80CE4},15255066.0,15203307.0,15001052.0,15001054.0,15111247.0,15111614.0,,15285025.0
3058,{2A1CE565-E7F1-41D5-B156-E6098BC55C4E},15255067.0,15203308.0,15001052.0,15001054.0,15111247.0,,,15285025.0
3059,{3C23E928-31E9-4126-A0BF-CCB2826C17B0},15255068.0,15203309.0,15001052.0,15001054.0,15111247.0,15111614.0,,15285025.0
2196,{C1503A60-6E73-4847-819A-19849BD95201},15255225.0,15203310.0,15001095.0,15001095.0,15111505.0,15111040.0,,15285053.0
3061,{DE9ECB8D-67D6-4CD9-B3D5-1D5E504C0B43},15255228.0,15203311.0,15001134.0,15001134.0,15111405.0,15111516.0,,15287002.0
3062,{5FC95FF1-C343-4DDC-8BD0-017664A0D14C},15255218.0,15203312.0,15001091.0,15001091.0,15111510.0,,,15287001.0
2836,{741B0CE2-B12A-4F65-982B-E06224B5826D},15254031.0,15203313.0,15001091.0,15001091.0,15111524.0,,,15287001.0
3064,{E92C16E8-045B-4649-A191-82355E8894E3},15254032.0,15203314.0,15001091.0,15001091.0,15111510.0,,,15287001.0
3065,{19B96BBF-6503-4804-9476-CE09887A689B},15254033.0,15203315.0,15001091.0,15001091.0,15111520.0,,,15287001.0
3066,{4BCF2B1E-74AA-4BBF-B3FB-CC80BF1BBB0F},15254015.0,15203316.0,15001091.0,15001091.0,15111520.0,,,15287001.0
3067,{45253623-2F3C-47C7-BC34-917E2DA7CEF6},15254038.0,15203317.0,15001117.0,15001121.0,15111510.0,15111410.0,,15287002.0
3068,{4F648D6E-3D1A-475A-8D61-870B05457CB8},15254018.0,15203318.0,15001049.0,15001091.0,15111546.0,15111486.0,15111579.0,15287001.0
3069,{5E21BA2A-EF0E-4B3D-8F16-D9DC4431262D},15254025.0,15203319.0,15001072.0,15001073.0,15111044.0,15111348.0,,15285043.0
3070,{0702AD5F-0599-44DD-9228-5963EFCFA06E},,15203320.0,15001091.0,15001091.0,15111516.0,15111510.0,,15287001.0
